publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2012,Caso principal,1092.13
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2012,Caso principal,29.75
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2012,Caso principal,71.11
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2013,Caso principal,92.32
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2013,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2013,Caso principal,3.83
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2013,Caso principal,7.86
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2013,Caso principal,292.33
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2013,Caso principal,10.69
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2013,Caso principal,1138.96
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2013,Caso principal,52.94
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2013,Caso principal,86.48
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2014,Caso principal,99.22
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2014,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2014,Caso principal,4.39
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2014,Caso principal,9.19
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2014,Caso principal,340.61
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2014,Caso principal,11.2
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2014,Caso principal,1178.92
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2014,Caso principal,79.97
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2014,Caso principal,103.46
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2015,Caso principal,106.44
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2015,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2015,Caso principal,4.58
